,phases_score,rupture_5y_risk,annual_rupture
0,<2,0.4,0.0008012830806278792
1,3,0.7,0.0014039365451051777
2,4,0.9,0.0018065152139684626
3,5,1.3,0.002613626425230664
4,6,1.7,0.0034233586670632254
5,7,2.4,0.00484675490699038
6,8,3.2,0.006483528975532726
7,9,4.3,0.008751855095634697
8,10,5.3,0.010832142368815911
9,11,7.2,0.014833591302506055
10,>=12,17.8,0.0384444841102114
